"X","site_row_id","STATE","county","ADDRESS","CITY","ycoord","xcoord","SITE_DESCRIPTION","service_or_fuel","diesel","twentyfour_hour_flag","car_wash","truckstop_flag","description","PUMP_TECH","POC","HIFCA","ZIPnew","POCAGE","POCGAP","ZIPPOC","HFG","MSA","dist.to.poc","cate.poc.density","cate.poc.age","cate.poc.age.20","cate.poc.intensity","cate.poc.intensity.tot","MSA_POC","MSA_POC.1"
19840,"1-8WXZ-1737","OH","Hamilton","1195 COMPTON RD","CINCINNATI",39.232354,-84.528885,"Cincinnati-Middletown OH-KY-IN","Fuel","N","Y","N","N","URBAN","O",0,1,45231,NA,NA,0,0,1640,8.80397804859534,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
10023,"1-4BXM-173","MD","Montgomery","1298 E GUDE DR","ROCKVILLE",39.098227,-77.137123,"Washington-Arlington-Alexandria DC-VA-MD","Fuel","Y","N","N","Y","URBAN","O",0,1,20850,NA,NA,0,0,8840,7.00052904659797,"(-1e-06,1]","(15,140]","(15,140]","(5,Inf]","(8,Inf]",1,1
43416,"1-XELJRJ","TN","Anderson","1550 OAK RIDGE TPKE","OAK RIDGE",36.01143,-84.26691,"Knoxville TN","Fuel","Y","N","N","N","URBAN","O",0,0,37830,NA,NA,0,0,3840,16.1308276630569,"(-1e-06,1]","(140,Inf]","(15,140]","(-0.0001,0]","(-0.0001,0]",0,0
12833,"1-5B5G-12","PA","Chester","2 E RHODES AVE","WEST CHESTER",39.944018,-75.591872,"Philadelphia-Camden-Wilmington PA-NJ-DE-","Fuel","N","N","N","N","URBAN","O",0,1,19382,NA,NA,0,0,6160,12.3319952483449,"(-1e-06,1]","(15,140]","(15,140]","(0,5]","(0,8]",0,0
36634,"1-MWN7H6","GA","Henry","631 HWY 138 W","STOCKBRIDGE",33.548561,-84.276388,"Atlanta-Sandy Springs-Marietta GA","Fuel","Y","Y","N","Y","URBAN","O",0,0,30281,NA,NA,2,0,520,1.06037204521714,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
9280,"1-40CL-749","TN","Knox","410 MERCHANT DR","KNOXVILLE",36.008196,-83.975781,"Knoxville TN","BOTH","Y","Y","Y","Y","URBAN","O",0,1,37912,NA,NA,0,0,3840,8.57722028816247,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
29644,"1-I15FLC","CO","Adams","1605 W 92ND AVE","DENVER",39.863508,-105.006889,"Denver-Aurora-Broomfield CO","Fuel","N","N","N","N","URBAN","O",0,1,80260,NA,NA,0,0,2080,11.5663553109676,"(5,Inf]","(15,140]","(0,15]","(5,Inf]","(8,Inf]",0,0
23148,"1-A5PX-2","TX","Dallas","1700 DALROCK RD","ROWLETT",32.878029,-96.518246,"Dallas-Fort Worth-Arlington TX","Fuel","Y","Y","N","N","URBAN","O",0,1,75088,NA,NA,0,0,1920,5.85393917615601,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
1942,"1-3UVO-4159","GA","Bibb","3621 SGODA RD","MACON",32.721721,-83.530694,"Macon GA","Fuel","Y","N","N","N","URBAN","O",0,0,31217,NA,NA,0,0,4680,18.4533191402502,"(1,5]","(140,Inf]","(0,15]","(-0.0001,0]","(-0.0001,0]",0,0
2485,"1-3UW9-3578","TX","Tarrant","1013 BLUE MOUNT RD","FORT WORTH",32.878585,-97.348516,"Dallas-Fort Worth-Arlington TX","BOTH","Y","Y","N","N","URBAN","V",0,1,76131,NA,NA,0,0,2800,7.05560452497293,"(5,Inf]","(0,15]","(0,15]","(0,5]","(0,8]",1,1
