"","year","state_po","party","total.candidatevotes","winner.pct"
"1",2000,"AK","REPUBLICAN",167398,"59%"
"2",2000,"AL","REPUBLICAN",944409,"56%"
"3",2000,"AR","REPUBLICAN",472940,"51%"
"4",2000,"AZ","REPUBLICAN",781652,"51%"
"5",2000,"CA","DEMOCRAT",5861203,"53%"
"6",2000,"CO","REPUBLICAN",883745,"51%"
"7",2000,"CT","DEMOCRAT",816015,"56%"
"8",2000,"DC","DEMOCRAT",171923,"85%"
"9",2000,"DE","DEMOCRAT",180068,"55%"
"10",2000,"FL","DEMOCRAT",2911417,"49%"
"11",2000,"GA","REPUBLICAN",1419720,"55%"
"12",2000,"HI","DEMOCRAT",205242,"56%"
"13",2000,"IA","DEMOCRAT",638517,"49%"
"14",2000,"ID","REPUBLICAN",336937,"67%"
"15",2000,"IL","DEMOCRAT",2589026,"55%"
"16",2000,"IN","REPUBLICAN",1245836,"57%"
"17",2000,"KS","REPUBLICAN",622332,"58%"
"18",2000,"KY","REPUBLICAN",872492,"57%"
"19",2000,"LA","REPUBLICAN",927871,"53%"
"20",2000,"MA","DEMOCRAT",1616487,"60%"
"21",2000,"MD","DEMOCRAT",1145782,"57%"
"22",2000,"ME","DEMOCRAT",319951,"49%"
"23",2000,"MI","DEMOCRAT",2170418,"51%"
"24",2000,"MN","DEMOCRAT",1168266,"48%"
"25",2000,"MO","REPUBLICAN",1189924,"50%"
"26",2000,"MS","REPUBLICAN",573230,"58%"
"27",2000,"MT","REPUBLICAN",240178,"58%"
"28",2000,"NC","REPUBLICAN",1631163,"56%"
"29",2000,"ND","REPUBLICAN",174852,"61%"
"30",2000,"NE","REPUBLICAN",433862,"62%"
"31",2000,"NH","REPUBLICAN",273559,"48%"
"32",2000,"NJ","DEMOCRAT",1788850,"56%"
"33",2000,"NM","DEMOCRAT",286783,"48%"
"34",2000,"NV","REPUBLICAN",301575,"50%"
"35",2000,"NY","DEMOCRAT",4107697,"60%"
"36",2000,"OH","REPUBLICAN",2351209,"50%"
"37",2000,"OK","REPUBLICAN",744337,"60%"
"38",2000,"OR","DEMOCRAT",720342,"47%"
"39",2000,"PA","DEMOCRAT",2485967,"51%"
"40",2000,"RI","DEMOCRAT",249508,"61%"
"41",2000,"SC","REPUBLICAN",786426,"57%"
"42",2000,"SD","REPUBLICAN",190700,"60%"
"43",2000,"TN","REPUBLICAN",1061949,"51%"
"44",2000,"TX","REPUBLICAN",3799639,"59%"
"45",2000,"UT","REPUBLICAN",515096,"67%"
"46",2000,"VA","REPUBLICAN",1436877,"52%"
"47",2000,"VT","DEMOCRAT",149022,"51%"
"48",2000,"WA","DEMOCRAT",1247652,"50%"
"49",2000,"WI","DEMOCRAT",1242987,"48%"
"50",2000,"WV","REPUBLICAN",336475,"52%"
"51",2000,"WY","REPUBLICAN",147947,"68%"
"52",2004,"AK","REPUBLICAN",292267,"60%"
"53",2004,"AL","REPUBLICAN",1176394,"62%"
"54",2004,"AR","REPUBLICAN",572770,"54%"
"55",2004,"AZ","REPUBLICAN",1104294,"55%"
"56",2004,"CA","DEMOCRAT",6737355,"54%"
"57",2004,"CO","REPUBLICAN",1101255,"52%"
"58",2004,"CT","DEMOCRAT",857488,"54%"
"59",2004,"DC","DEMOCRAT",202970,"89%"
"60",2004,"DE","DEMOCRAT",200141,"53%"
"61",2004,"FL","REPUBLICAN",3964522,"52%"
"62",2004,"GA","REPUBLICAN",1914254,"58%"
"63",2004,"HI","DEMOCRAT",231335,"54%"
"64",2004,"IA","REPUBLICAN",751957,"50%"
"65",2004,"ID","REPUBLICAN",409235,"68%"
"66",2004,"IL","DEMOCRAT",2891989,"55%"
"67",2004,"IN","REPUBLICAN",1479438,"60%"
"68",2004,"KS","REPUBLICAN",736456,"62%"
"69",2004,"KY","REPUBLICAN",1069439,"60%"
"70",2004,"LA","REPUBLICAN",1102169,"57%"
"71",2004,"MA","DEMOCRAT",1803800,"62%"
"72",2004,"MD","DEMOCRAT",1334493,"56%"
"73",2004,"ME","DEMOCRAT",364153,"53%"
"74",2004,"MI","DEMOCRAT",2479183,"51%"
"75",2004,"MN","DEMOCRAT",1444751,"51%"
"76",2004,"MO","REPUBLICAN",1455713,"53%"
"77",2004,"MS","REPUBLICAN",666295,"60%"
"78",2004,"MT","REPUBLICAN",266063,"59%"
"79",2004,"NC","REPUBLICAN",1961166,"56%"
"80",2004,"ND","REPUBLICAN",196651,"63%"
"81",2004,"NE","REPUBLICAN",512814,"66%"
"82",2004,"NH","DEMOCRAT",340511,"50%"
"83",2004,"NJ","DEMOCRAT",1911430,"53%"
"84",2004,"NM","REPUBLICAN",376930,"50%"
"85",2004,"NV","REPUBLICAN",418690,"50%"
"86",2004,"NY","DEMOCRAT",4180755,"57%"
"87",2004,"OH","REPUBLICAN",2858727,"51%"
"88",2004,"OK","REPUBLICAN",959792,"66%"
"89",2004,"OR","DEMOCRAT",943163,"51%"
"90",2004,"PA","DEMOCRAT",2938095,"51%"
"91",2004,"RI","DEMOCRAT",259760,"60%"
"92",2004,"SC","REPUBLICAN",937974,"58%"
"93",2004,"SD","REPUBLICAN",232584,"60%"
"94",2004,"TN","REPUBLICAN",1381225,"57%"
"95",2004,"TX","REPUBLICAN",4526917,"61%"
"96",2004,"UT","REPUBLICAN",663742,"72%"
"97",2004,"VA","REPUBLICAN",1716959,"54%"
"98",2004,"VT","DEMOCRAT",184067,"59%"
"99",2004,"WA","DEMOCRAT",1510201,"53%"
"100",2004,"WI","DEMOCRAT",1489504,"50%"
"101",2004,"WV","REPUBLICAN",423550,"56%"
"102",2004,"WY","REPUBLICAN",167629,"69%"
"103",2008,"AK","REPUBLICAN",193841,"59%"
"104",2008,"AL","REPUBLICAN",1266546,"60%"
"105",2008,"AR","REPUBLICAN",638017,"59%"
"106",2008,"AZ","REPUBLICAN",1230111,"54%"
"107",2008,"CA","DEMOCRAT",8274473,"61%"
"108",2008,"CO","DEMOCRAT",1288576,"54%"
"109",2008,"CT","DEMOCRAT",1000291,"61%"
"110",2008,"DC","DEMOCRAT",245800,"92%"
"111",2008,"DE","DEMOCRAT",255459,"62%"
"112",2008,"FL","DEMOCRAT",4282366,"51%"
"113",2008,"GA","REPUBLICAN",2048744,"52%"
"114",2008,"HI","DEMOCRAT",325201,"72%"
"115",2008,"IA","DEMOCRAT",828940,"54%"
"116",2008,"ID","REPUBLICAN",403012,"62%"
"117",2008,"IL","DEMOCRAT",3419673,"62%"
"118",2008,"IN","DEMOCRAT",1374039,"50%"
"119",2008,"KS","REPUBLICAN",699655,"57%"
"120",2008,"KY","REPUBLICAN",1048462,"57%"
"121",2008,"LA","REPUBLICAN",1148015,"59%"
"122",2008,"MA","DEMOCRAT",1904103,"62%"
"123",2008,"MD","DEMOCRAT",1629467,"62%"
"124",2008,"ME","DEMOCRAT",421923,"58%"
"125",2008,"MI","DEMOCRAT",2872579,"57%"
"126",2008,"MN","DEMOCRAT",1573354,"54%"
"127",2008,"MO","REPUBLICAN",1445814,"49%"
"128",2008,"MS","REPUBLICAN",724497,"56%"
"129",2008,"MT","REPUBLICAN",243860,"49%"
"130",2008,"NC","DEMOCRAT",2142651,"50%"
"131",2008,"ND","REPUBLICAN",168601,"53%"
"132",2008,"NE","REPUBLICAN",452979,"57%"
"133",2008,"NH","DEMOCRAT",384826,"54%"
"134",2008,"NJ","DEMOCRAT",2215422,"58%"
"135",2008,"NM","DEMOCRAT",472422,"57%"
"136",2008,"NV","DEMOCRAT",533736,"55%"
