"","ObsID","TransactionYear","HouseAge","Distance2MRT","NumConvenStores","Latitude","Longitude","PriceUnitArea","house_age_group","nearest_MRT_distance_group"
"1",1,2012,32,84.87882,10,24.98298,121.54024,37.9,"> 20","0-500"
"2",2,2012,19.5,306.5947,9,24.98034,121.53951,42.2,"10 to 20","0-500"
"3",3,2013,13.3,561.9845,5,24.98746,121.54391,47.3,"10 to 20","500-1000"
"4",4,2013,13.3,561.9845,5,24.98746,121.54391,54.8,"10 to 20","500-1000"
"5",5,2012,5,390.5684,5,24.97937,121.54245,43.1,"0 to 5","0-500"
"6",6,2012,7.1,2175.03,3,24.96305,121.51254,32.1,"5 to 10","> 2000"
"7",7,2012,34.5,623.4731,7,24.97933,121.53642,40.3,"> 20","500-1000"
"8",8,2013,20.3,287.6025,6,24.98042,121.54228,46.7,"> 20","0-500"
"9",9,2013,31.7,5512.038,1,24.95095,121.48458,18.8,"> 20","> 2000"
"10",10,2013,17.9,1783.18,3,24.96731,121.51486,22.1,"10 to 20","1000-2000"
"11",11,2013,34.8,405.2134,1,24.97349,121.53372,41.4,"> 20","0-500"
"12",12,2013,6.3,90.45606,9,24.97433,121.5431,58.1,"5 to 10","0-500"
"13",13,2012,13,492.2313,5,24.96515,121.53737,39.3,"10 to 20","0-500"
"14",14,2012,20.4,2469.645,4,24.96108,121.51046,23.8,"> 20","> 2000"
"15",15,2013,13.2,1164.838,4,24.99156,121.53406,34.3,"10 to 20","1000-2000"
"16",16,2013,35.7,579.2083,2,24.9824,121.54619,50.5,"> 20","500-1000"
"17",17,2013,0,292.9978,6,24.97744,121.54458,70.1,"0 to 5","0-500"
"18",18,2012,17.7,350.8515,1,24.97544,121.53119,37.4,"10 to 20","0-500"
"19",19,2013,16.9,368.1363,8,24.9675,121.54451,42.3,"10 to 20","0-500"
"20",20,2012,1.5,23.38284,7,24.96772,121.54102,47.7,"0 to 5","0-500"
"21",21,2013,4.5,2275.877,3,24.96314,121.51151,29.3,"0 to 5","> 2000"
"22",22,2013,10.5,279.1726,7,24.97528,121.54541,51.6,"10 to 20","0-500"
"23",23,2012,14.7,1360.139,1,24.95204,121.54842,24.6,"10 to 20","1000-2000"
"24",24,2013,10.1,279.1726,7,24.97528,121.54541,47.9,"10 to 20","0-500"
"25",25,2013,39.6,480.6977,4,24.97353,121.53885,38.8,"> 20","0-500"
"26",26,2013,29.3,1487.868,2,24.97542,121.51726,27,"> 20","1000-2000"
"27",27,2012,3.1,383.8624,5,24.98085,121.54391,56.2,"0 to 5","0-500"
"28",28,2013,10.4,276.449,5,24.95593,121.53913,33.6,"10 to 20","0-500"
"29",29,2013,19.2,557.478,4,24.97419,121.53797,47,"10 to 20","500-1000"
"30",30,2013,7.1,451.2438,5,24.97563,121.54694,57.1,"5 to 10","0-500"
"31",31,2013,25.9,4519.69,0,24.94826,121.49587,22.1,"> 20","> 2000"
"32",32,2012,29.6,769.4034,7,24.98281,121.53408,25,"> 20","500-1000"
"33",33,2012,37.9,488.5727,1,24.97349,121.53451,34.2,"> 20","0-500"
"34",34,2013,16.5,323.655,6,24.97841,121.54281,49.3,"10 to 20","0-500"
"35",35,2012,15.4,205.367,7,24.98419,121.54243,55.1,"10 to 20","0-500"
"36",36,2013,13.9,4079.418,0,25.01459,121.51816,27.3,"10 to 20","> 2000"
"37",37,2012,14.7,1935.009,2,24.96386,121.51458,22.9,"10 to 20","1000-2000"
"38",38,2013,12,1360.139,1,24.95204,121.54842,25.3,"10 to 20","1000-2000"
"39",39,2012,3.1,577.9615,6,24.97201,121.54722,47.7,"0 to 5","500-1000"
"40",40,2013,16.2,289.3248,5,24.98203,121.54348,46.2,"10 to 20","0-500"
"41",41,2013,13.6,4082.015,0,24.94155,121.50381,15.9,"10 to 20","> 2000"
"42",42,2013,16.8,4066.587,0,24.94297,121.50342,18.2,"10 to 20","> 2000"
"43",43,2013,36.1,519.4617,5,24.96305,121.53758,34.7,"> 20","500-1000"
"44",44,2012,34.4,512.7871,6,24.98748,121.54301,34.1,"> 20","500-1000"
"45",45,2013,2.7,533.4762,4,24.97445,121.54765,53.9,"0 to 5","500-1000"
"46",46,2013,36.6,488.8193,8,24.97015,121.54494,38.3,"> 20","0-500"
"47",47,2013,21.7,463.9623,9,24.9703,121.54458,42,"> 20","0-500"
"48",48,2013,35.9,640.7391,3,24.97563,121.53715,61.5,"> 20","500-1000"
"49",49,2013,24.2,4605.749,0,24.94684,121.49578,13.4,"> 20","> 2000"
"50",50,2012,29.4,4510.359,1,24.94925,121.49542,13.2,"> 20","> 2000"
"51",51,2013,21.7,512.5487,4,24.974,121.53842,44.2,"> 20","500-1000"
"52",52,2013,31.3,1758.406,1,24.95402,121.55282,20.7,"> 20","1000-2000"
"53",53,2013,32.1,1438.579,3,24.97419,121.5175,27,"> 20","1000-2000"
"54",54,2013,13.3,492.2313,5,24.96515,121.53737,38.9,"10 to 20","0-500"
"55",55,2013,16.1,289.3248,5,24.98203,121.54348,51.7,"10 to 20","0-500"
"56",56,2012,31.7,1160.632,0,24.94968,121.53009,13.7,"> 20","1000-2000"
"57",57,2013,33.6,371.2495,8,24.97254,121.54059,41.9,"> 20","0-500"
"58",58,2012,3.5,56.47425,7,24.95744,121.53711,53.5,"0 to 5","0-500"
"59",59,2013,30.3,4510.359,1,24.94925,121.49542,22.6,"> 20","> 2000"
"60",60,2013,13.3,336.0532,5,24.95776,121.53438,42.4,"10 to 20","0-500"
"61",61,2013,11,1931.207,2,24.96365,121.51471,21.3,"10 to 20","1000-2000"
"62",62,2013,5.3,259.6607,6,24.97585,121.54516,63.2,"5 to 10","0-500"
"63",63,2012,17.2,2175.877,3,24.96303,121.51254,27.7,"10 to 20","> 2000"
"64",64,2013,2.6,533.4762,4,24.97445,121.54765,55,"0 to 5","500-1000"
"65",65,2013,17.5,995.7554,0,24.96305,121.54915,25.3,"10 to 20","500-1000"
"66",66,2013,40.1,123.7429,8,24.97635,121.54329,44.3,"> 20","0-500"
"67",67,2013,1,193.5845,6,24.96571,121.54089,50.7,"0 to 5","0-500"
"68",68,2013,8.5,104.8101,5,24.96674,121.54067,56.8,"5 to 10","0-500"
"69",69,2013,30.4,464.223,6,24.97964,121.53805,36.2,"> 20","0-500"
"70",70,2012,12.5,561.9845,5,24.98746,121.54391,42,"10 to 20","500-1000"
"71",71,2013,6.6,90.45606,9,24.97433,121.5431,59,"5 to 10","0-500"
"72",72,2013,35.5,640.7391,3,24.97563,121.53715,40.8,"> 20","500-1000"
"73",73,2013,32.5,424.5442,8,24.97587,121.53913,36.3,"> 20","0-500"
"74",74,2013,13.8,4082.015,0,24.94155,121.50381,20,"10 to 20","> 2000"
"75",75,2012,6.8,379.5575,10,24.98343,121.53762,54.4,"5 to 10","0-500"
"76",76,2013,12.3,1360.139,1,24.95204,121.54842,29.5,"10 to 20","1000-2000"
"77",77,2013,35.9,616.4004,3,24.97723,121.53767,36.8,"> 20","500-1000"
"78",78,2012,20.5,2185.128,3,24.96322,121.51237,25.6,"> 20","> 2000"
"79",79,2012,38.2,552.4371,2,24.97598,121.53381,29.8,"> 20","500-1000"
"80",80,2013,18,1414.837,1,24.95182,121.54887,26.5,"10 to 20","1000-2000"
"81",81,2013,11.8,533.4762,4,24.97445,121.54765,40.3,"10 to 20","500-1000"
"82",82,2013,30.8,377.7956,6,24.96427,121.53964,36.8,"> 20","0-500"
"83",83,2013,13.2,150.9347,7,24.96725,121.54252,48.1,"10 to 20","0-500"
"84",84,2012,25.3,2707.392,3,24.96056,121.50831,17.7,"> 20","> 2000"
"85",85,2013,15.1,383.2805,7,24.96735,121.54464,43.7,"10 to 20","0-500"
"86",86,2012,0,338.9679,9,24.96853,121.54413,50.8,"0 to 5","0-500"
"87",87,2012,1.8,1455.798,1,24.9512,121.549,27,"0 to 5","1000-2000"
"88",88,2013,16.9,4066.587,0,24.94297,121.50342,18.3,"10 to 20","> 2000"
"89",89,2012,8.9,1406.43,0,24.98573,121.52758,48,"5 to 10","1000-2000"
"90",90,2013,23,3947.945,0,24.94783,121.50243,25.3,"> 20","> 2000"
"91",91,2012,0,274.0144,1,24.9748,121.53059,45.4,"0 to 5","0-500"
"92",92,2013,9.1,1402.016,0,24.98569,121.5276,43.2,"5 to 10","1000-2000"
"93",93,2012,20.6,2469.645,4,24.96108,121.51046,21.8,"> 20","> 2000"
"94",94,2012,31.9,1146.329,0,24.9492,121.53076,16.1,"> 20","1000-2000"
"95",95,2012,40.9,167.5989,5,24.9663,121.54026,41,"> 20","0-500"
"96",96,2012,8,104.8101,5,24.96674,121.54067,51.8,"5 to 10","0-500"
"97",97,2013,6.4,90.45606,9,24.97433,121.5431,59.5,"5 to 10","0-500"
"98",98,2013,28.4,617.4424,3,24.97746,121.53299,34.6,"> 20","500-1000"
"99",99,2013,16.4,289.3248,5,24.98203,121.54348,51,"10 to 20","0-500"
"100",100,2013,6.4,90.45606,9,24.97433,121.5431,62.2,"5 to 10","0-500"
"101",101,2013,17.5,964.7496,4,24.98872,121.53411,38.2,"10 to 20","500-1000"
"102",102,2012,12.7,170.1289,1,24.97371,121.52984,32.9,"10 to 20","0-500"
"103",103,2013,1.1,193.5845,6,24.96571,121.54089,54.4,"0 to 5","0-500"
"104",104,2012,0,208.3905,6,24.95618,121.53844,45.7,"0 to 5","0-500"
"105",105,2012,32.7,392.4459,6,24.96398,121.5425,30.5,"> 20","0-500"
"106",106,2012,0,292.9978,6,24.97744,121.54458,71,"0 to 5","0-500"
"107",107,2013,17.2,189.5181,8,24.97707,121.54308,47.1,"10 to 20","0-500"
"108",108,2013,12.2,1360.139,1,24.95204,121.54842,26.6,"10 to 20","1000-2000"
"109",109,2013,31.4,592.5006,2,24.9726,121.53561,34.1,"> 20","500-1000"
"110",110,2013,4,2147.376,3,24.96299,121.51284,28.4,"0 to 5","> 2000"
"111",111,2013,8.1,104.8101,5,24.96674,121.54067,51.6,"5 to 10","0-500"
"112",112,2013,33.3,196.6172,7,24.97701,121.54224,39.4,"> 20","0-500"
"113",113,2013,9.9,2102.427,3,24.96044,121.51462,23.1,"5 to 10","> 2000"
"114",114,2013,14.8,393.2606,6,24.96172,121.53812,7.6,"10 to 20","0-500"
"115",115,2012,30.6,143.8383,8,24.98155,121.54142,53.3,"> 20","0-500"
"116",116,2013,20.6,737.9161,2,24.98092,121.54739,46.4,"> 20","500-1000"
"117",117,2013,30.9,6396.283,1,24.94375,121.47883,12.2,"> 20","> 2000"
"118",118,2013,13.6,4197.349,0,24.93885,121.50383,13,"10 to 20","> 2000"
"119",119,2013,25.3,1583.722,3,24.96622,121.51709,30.6,"> 20","1000-2000"
"120",120,2013,16.6,289.3248,5,24.98203,121.54348,59.6,"10 to 20","0-500"
"121",121,2013,13.3,492.2313,5,24.96515,121.53737,31.3,"10 to 20","0-500"
"122",122,2013,13.6,492.2313,5,24.96515,121.53737,48,"10 to 20","0-500"
"123",123,2013,31.5,414.9476,4,24.98199,121.54464,32.5,"> 20","0-500"
"124",124,2013,0,185.4296,0,24.9711,121.5317,45.5,"0 to 5","0-500"
"125",125,2012,9.9,279.1726,7,24.97528,121.54541,57.4,"5 to 10","0-500"
"126",126,2013,1.1,193.5845,6,24.96571,121.54089,48.6,"0 to 5","0-500"
"127",127,2013,38.6,804.6897,4,24.97838,121.53477,62.9,"> 20","500-1000"
"128",128,2013,3.8,383.8624,5,24.98085,121.54391,55,"0 to 5","0-500"
"129",129,2013,41.3,124.9912,6,24.96674,121.54039,60.7,"> 20","0-500"
"130",130,2013,38.5,216.8329,7,24.98086,121.54162,41,"> 20","0-500"
"131",131,2013,29.6,535.527,8,24.98092,121.53653,37.5,"> 20","500-1000"
"132",132,2013,4,2147.376,3,24.96299,121.51284,30.7,"0 to 5","> 2000"
"133",133,2013,26.6,482.7581,5,24.97433,121.53863,37.5,"> 20","0-500"
"134",134,2012,18,373.3937,8,24.9866,121.54082,39.5,"10 to 20","0-500"
"135",135,2012,33.4,186.9686,6,24.96604,121.54211,42.2,"> 20","0-500"
"136",136,2012,18.9,1009.235,0,24.96357,121.54951,20.8,"10 to 20","1000-2000"
"137",137,2012,11.4,390.5684,5,24.97937,121.54245,46.8,"10 to 20","0-500"
"138",138,2013,13.6,319.0708,6,24.96495,121.54277,47.4,"10 to 20","0-500"
"139",139,2013,10,942.4664,0,24.97843,121.52406,43.5,"5 to 10","500-1000"
"140",140,2012,12.9,492.2313,5,24.96515,121.53737,42.5,"10 to 20","0-500"
"141",141,2013,16.2,289.3248,5,24.98203,121.54348,51.4,"10 to 20","0-500"
"142",142,2013,5.1,1559.827,3,24.97213,121.51627,28.9,"5 to 10","1000-2000"
"143",143,2013,19.8,640.6071,5,24.97017,121.54647,37.5,"10 to 20","500-1000"
"144",144,2013,13.6,492.2313,5,24.96515,121.53737,40.1,"10 to 20","0-500"
"145",145,2013,11.9,1360.139,1,24.95204,121.54842,28.4,"10 to 20","1000-2000"
"146",146,2012,2.1,451.2438,5,24.97563,121.54694,45.5,"0 to 5","0-500"
"147",147,2012,0,185.4296,0,24.9711,121.5317,52.2,"0 to 5","0-500"
"148",148,2012,3.2,489.8821,8,24.97017,121.54494,43.2,"0 to 5","0-500"
"149",149,2013,16.4,3780.59,0,24.93293,121.51203,45.1,"10 to 20","> 2000"
"150",150,2012,34.9,179.4538,8,24.97349,121.54245,39.7,"> 20","0-500"
"151",151,2013,35.8,170.7311,7,24.96719,121.54269,48.5,"> 20","0-500"
"152",152,2013,4.9,387.7721,9,24.98118,121.53788,44.7,"0 to 5","0-500"
"153",153,2013,12,1360.139,1,24.95204,121.54842,28.9,"10 to 20","1000-2000"
"154",154,2013,6.5,376.1709,6,24.95418,121.53713,40.9,"5 to 10","0-500"
"155",155,2013,16.9,4066.587,0,24.94297,121.50342,20.7,"10 to 20","> 2000"
"156",156,2013,13.8,4082.015,0,24.94155,121.50381,15.6,"10 to 20","> 2000"
"157",157,2013,30.7,1264.73,0,24.94883,121.52954,18.3,"> 20","1000-2000"
"158",158,2013,16.1,815.9314,4,24.97886,121.53464,35.6,"10 to 20","500-1000"
"159",159,2013,11.6,390.5684,5,24.97937,121.54245,39.4,"10 to 20","0-500"
"160",160,2012,15.5,815.9314,4,24.97886,121.53464,37.4,"10 to 20","500-1000"
"161",161,2012,3.5,49.66105,8,24.95836,121.53756,57.8,"0 to 5","0-500"
"162",162,2013,19.2,616.4004,3,24.97723,121.53767,39.6,"10 to 20","500-1000"
"163",163,2012,16,4066.587,0,24.94297,121.50342,11.6,"10 to 20","> 2000"
"164",164,2013,8.5,104.8101,5,24.96674,121.54067,55.5,"5 to 10","0-500"
"165",165,2012,0,185.4296,0,24.9711,121.5317,55.2,"0 to 5","0-500"
"166",166,2012,13.7,1236.564,1,24.97694,121.55391,30.6,"10 to 20","1000-2000"
"167",167,2013,0,292.9978,6,24.97744,121.54458,73.6,"0 to 5","0-500"
"168",168,2013,28.2,330.0854,8,24.97408,121.54011,43.4,"> 20","0-500"
"169",169,2013,27.6,515.1122,5,24.96299,121.5432,37.4,"> 20","500-1000"
"170",170,2013,8.4,1962.628,1,24.95468,121.55481,23.5,"5 to 10","1000-2000"
"171",171,2013,24,4527.687,0,24.94741,121.49628,14.4,"> 20","> 2000"
"172",172,2013,3.6,383.8624,5,24.98085,121.54391,58.8,"0 to 5","0-500"
"173",173,2013,6.6,90.45606,9,24.97433,121.5431,58.1,"5 to 10","0-500"
"174",174,2013,41.3,401.8807,4,24.98326,121.5446,35.1,"> 20","0-500"
"175",175,2013,4.3,432.0385,7,24.9805,121.53778,45.2,"0 to 5","0-500"
"176",176,2013,30.2,472.1745,3,24.97005,121.53758,36.5,"> 20","0-500"
"177",177,2012,13.9,4573.779,0,24.94867,121.49507,19.2,"10 to 20","> 2000"
"178",178,2013,33,181.0766,9,24.97697,121.54262,42,"> 20","0-500"
"179",179,2013,13.1,1144.436,4,24.99176,121.53456,36.7,"10 to 20","1000-2000"
"180",180,2013,14,438.8513,1,24.97493,121.5273,42.6,"10 to 20","0-500"
"181",181,2012,26.9,4449.27,0,24.94898,121.49621,15.5,"> 20","> 2000"
"182",182,2013,11.6,201.8939,8,24.98489,121.54121,55.9,"10 to 20","0-500"
"183",183,2013,13.5,2147.376,3,24.96299,121.51284,23.6,"10 to 20","> 2000"
"184",184,2013,17,4082.015,0,24.94155,121.50381,18.8,"10 to 20","> 2000"
"185",185,2012,14.1,2615.465,0,24.95495,121.56174,21.8,"10 to 20","> 2000"
"186",186,2012,31.4,1447.286,3,24.97285,121.5173,21.5,"> 20","1000-2000"
"187",187,2013,20.9,2185.128,3,24.96322,121.51237,25.7,"> 20","> 2000"
"188",188,2013,8.9,3078.176,0,24.95464,121.56627,22,"5 to 10","> 2000"
"189",189,2012,34.8,190.0392,8,24.97707,121.54312,44.3,"> 20","0-500"
"190",190,2012,16.3,4066.587,0,24.94297,121.50342,20.5,"10 to 20","> 2000"
"191",191,2013,35.3,616.5735,8,24.97945,121.53642,42.3,"> 20","500-1000"
"192",192,2013,13.2,750.0704,2,24.97371,121.54951,37.8,"10 to 20","500-1000"
"193",193,2013,43.8,57.58945,7,24.9675,121.54069,42.7,"> 20","0-500"
"194",194,2013,9.7,421.479,5,24.98246,121.54477,49.3,"5 to 10","0-500"
"195",195,2013,15.2,3771.895,0,24.93363,121.51158,29.3,"10 to 20","> 2000"
"196",196,2013,15.2,461.1016,5,24.95425,121.5399,34.6,"10 to 20","0-500"
"197",197,2013,22.8,707.9067,2,24.981,121.54713,36.6,"> 20","500-1000"
"198",198,2013,34.4,126.7286,8,24.96881,121.54089,48.2,"> 20","0-500"
"199",199,2013,34,157.6052,7,24.96628,121.54196,39.1,"> 20","0-500"
"200",200,2013,18.2,451.6419,8,24.96945,121.5449,31.6,"10 to 20","0-500"
"201",201,2013,17.4,995.7554,0,24.96305,121.54915,25.5,"10 to 20","500-1000"
"202",202,2013,13.1,561.9845,5,24.98746,121.54391,45.9,"10 to 20","500-1000"
"203",203,2012,38.3,642.6985,3,24.97559,121.53713,31.5,"> 20","500-1000"
"204",204,2012,15.6,289.3248,5,24.98203,121.54348,46.1,"10 to 20","0-500"
"205",205,2013,18,1414.837,1,24.95182,121.54887,26.6,"10 to 20","1000-2000"
"206",206,2013,12.8,1449.722,3,24.97289,121.51728,21.4,"10 to 20","1000-2000"
"207",207,2013,22.2,379.5575,10,24.98343,121.53762,44,"> 20","0-500"
"208",208,2013,38.5,665.0636,3,24.97503,121.53692,34.2,"> 20","500-1000"
"209",209,2012,11.5,1360.139,1,24.95204,121.54842,26.2,"10 to 20","1000-2000"
"210",210,2012,34.8,175.6294,8,24.97347,121.54271,40.9,"> 20","0-500"
"211",211,2013,5.2,390.5684,5,24.97937,121.54245,52.2,"5 to 10","0-500"
"212",212,2013,0,274.0144,1,24.9748,121.53059,43.5,"0 to 5","0-500"
"213",213,2013,17.6,1805.665,2,24.98672,121.52091,31.1,"10 to 20","1000-2000"
"214",214,2013,6.2,90.45606,9,24.97433,121.5431,58,"5 to 10","0-500"
"215",215,2013,18.1,1783.18,3,24.96731,121.51486,20.9,"10 to 20","1000-2000"
"216",216,2013,19.2,383.7129,8,24.972,121.54477,48.1,"10 to 20","0-500"
"217",217,2013,37.8,590.9292,1,24.97153,121.53559,39.7,"> 20","500-1000"
"218",218,2012,28,372.6242,6,24.97838,121.54119,40.8,"> 20","0-500"
"219",219,2013,13.6,492.2313,5,24.96515,121.53737,43.8,"10 to 20","0-500"
"220",220,2012,29.3,529.7771,8,24.98102,121.53655,40.2,"> 20","500-1000"
"221",221,2013,37.2,186.5101,9,24.97703,121.54265,78.3,"> 20","0-500"
"222",222,2013,9,1402.016,0,24.98569,121.5276,38.5,"5 to 10","1000-2000"
"223",223,2013,30.6,431.1114,10,24.98123,121.53743,48.5,"> 20","0-500"
"224",224,2013,9.1,1402.016,0,24.98569,121.5276,42.3,"5 to 10","1000-2000"
"225",225,2013,34.5,324.9419,6,24.97814,121.5417,46,"> 20","0-500"
"226",226,2013,1.1,193.5845,6,24.96571,121.54089,49,"0 to 5","0-500"
"227",227,2013,16.5,4082.015,0,24.94155,121.50381,12.8,"10 to 20","> 2000"
"228",228,2012,32.4,265.0609,8,24.98059,121.53986,40.2,"> 20","0-500"
"229",229,2013,11.9,3171.329,0,25.00115,121.51776,46.6,"10 to 20","> 2000"
"230",230,2013,31,1156.412,0,24.9489,121.53095,19,"> 20","1000-2000"
"231",231,2013,4,2147.376,3,24.96299,121.51284,33.4,"0 to 5","> 2000"
"232",232,2012,16.2,4074.736,0,24.94235,121.50357,14.7,"10 to 20","> 2000"
"233",233,2012,27.1,4412.765,1,24.95032,121.49587,17.4,"> 20","> 2000"
"234",234,2013,39.7,333.3679,9,24.98016,121.53932,32.4,"> 20","0-500"
"235",235,2013,8,2216.612,4,24.96007,121.51361,23.9,"5 to 10","> 2000"
"236",236,2012,12.9,250.631,7,24.96606,121.54297,39.3,"10 to 20","0-500"
"237",237,2013,3.6,373.8389,10,24.98322,121.53765,61.9,"0 to 5","0-500"
